,room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
34,3119298,1476,15847782,Entire home/apt,Amsterdam,Westerpark,1,0.0,8,3,445,Modern 5-8 person apartment,2017-07-23 12:58:15.945759,52.377581,4.873119
35,5372074,1476,14390964,Entire home/apt,Amsterdam,Centrum West,10,5.0,4,3,721,Prinsengracht Appartement,2017-07-23 12:52:40.980471,52.373078,4.884269000000001
37,18047871,1476,9302267,Entire home/apt,Amsterdam,Centrum West,0,0.0,4,4,541,Great 4 bedroom apartment at the flower market,2017-07-23 12:30:27.637777,52.36789,4.889273
38,7468232,1476,7215538,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,4,2,594,MuseumSquare apartment with garden,2017-07-23 12:30:27.627216,52.355169000000004,4.883219
39,6485791,1476,871328,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,23,4.5,4,4,661,Stuff of Dreams in Amsterdam Pijp,2017-07-23 12:30:12.749518,52.35494,4.902866
40,5818567,1476,29561840,Entire home/apt,Amsterdam,De Aker / Nieuw Sloten,0,0.0,4,2,361,"Luxurous, modern, bright appartment",2017-07-23 12:29:20.728096,52.346007,4.8118300000000005
41,1245504,1476,6786456,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,17,4.5,4,2,331,Beautiful apartment in Amsterdam,2017-07-23 12:27:16.593772,52.354110999999996,4.902925
42,1097121,1476,6029062,Entire home/apt,Amsterdam,Centrum Oost,15,5.0,6,4,409,Historic House in Center Amsterdam,2017-07-23 12:22:23.015413,52.368309,4.909591000000001
43,19980495,1476,53730026,Entire home/apt,Amsterdam,Noord West,0,0.0,5,2,210,True Tranquil Boho House - 15min from AMS CS,2017-07-23 12:09:30.787638,52.414253,4.883661
44,20003728,1476,26861783,Entire home/apt,Amsterdam,Centrum Oost,0,0.0,4,2,270,2-floor apartment in the centre with canal view!,2017-07-23 12:08:50.031993,52.364897,4.895932
