,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
9338,3539731,15816781,Entire home/apt,Tower Hamlets,Shadwell,13,4,5,1,1,150,2,51.513415,-0.060393
9339,3540638,17823430,Entire home/apt,Westminster,Churchill,3,4,,2,1,143,4,51.485931,-0.138037
9340,3540795,17823430,Private room,Westminster,Tachbrook,9,4.5,2,1,1,88,1,51.48472,-0.137744
9341,3540813,5552757,Entire home/apt,Westminster,Marylebone High Street,41,4.5,2,1,1,105,1,51.522332,-0.141897
9342,3541012,6957256,Private room,Hackney,Hackney Central,19,5,1,1,1,48,5,51.546785,-0.057367
9343,3541115,17825501,Entire home/apt,Tower Hamlets,Weavers,0,,3,1,1,119,1,51.530546,-0.06797
9344,3541165,15816781,Entire home/apt,Tower Hamlets,Whitechapel,13,4,4,0,1,127,2,51.514496,-0.063188
9345,3541681,15166867,Entire home/apt,Westminster,Bayswater,34,4,2,,,135,1,51.516485,-0.197996
9346,3541822,8644184,Entire home/apt,Tower Hamlets,St. Dunstan's,17,4.5,,1,1,187,3,51.513531,-0.038439
9347,3541845,17811875,Private room,Wandsworth,Bedford,0,,2,1,1,118,1,51.438868,-0.146871
9348,3542100,17819536,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,1,5,,2,2,224,2,51.520184,-0.074818
9349,3542554,17832882,Entire home/apt,Barnet,Golders Green,17,4.5,3,1,1,98,1,51.584511,-0.202871
9350,3543128,15350713,Entire home/apt,Camden,Haverstock,22,5,2,1,1,172,5,51.54326,-0.157459
9351,3543513,5702242,Private room,Camden,St. Pancras and Somers Town,8,4.5,2,1,1,54,7,51.534464,-0.133736
9352,3543541,17837404,Entire home/apt,Kensington and Chelsea,Brompton & Hans Town,101,4.5,2,0,1,128,1,51.493745,-0.167955
9353,3543991,12130269,Private room,Westminster,St. James's,73,4.5,3,1,1,128,1,51.512832,-0.129225
9354,3545977,17853124,Entire home/apt,Tower Hamlets,Bow East,24,5,4,1,1,127,2,51.528582,-0.017283
9355,3546437,235708,Entire home/apt,Lambeth,Oval,2,4.5,4,2,,284,4,51.483995,-0.11023
9356,3546476,12181610,Private room,Tower Hamlets,Weavers,4,4.5,2,1,1,79,2,51.524603,-0.074833
9357,3546761,17856369,Private room,Enfield,Southgate,3,5,2,1,1,104,2,51.634579,-0.128587
9358,3547022,17241042,Private room,Camden,Fortune Green,0,,2,1,1,113,1,51.551525,-0.204305
9359,3547150,17857920,Entire home/apt,Lambeth,Larkhall,13,5,4,0,1,142,2,51.473821,-0.132533
9360,3547775,17732933,Private room,Hackney,Victoria,3,4.5,2,1,1,60,1,51.54029,-0.053901
9361,3548120,5583483,Private room,Westminster,Church Street,62,4,2,1,,44,1,51.521918,-0.171055
9362,3548163,17862084,Private room,Wandsworth,Fairfield,0,,2,1,1,129,1,51.46317,-0.191132
9363,3548315,5951648,Entire home/apt,Kensington and Chelsea,Brompton & Hans Town,1,5,4,2,2,473,7,51.498464,-0.165563
9364,3548451,3409736,Entire home/apt,Kensington and Chelsea,Earl's Court,11,4.5,,3,2,552,2,51.489487,-0.191881
9365,3548766,17864516,Entire home/apt,Islington,Canonbury,31,4.5,4,1,1,142,3,51.540746,-0.095823
9366,3548871,8849350,Private room,Southwark,Brunswick Park,11,5,2,1,1,103,3,51.471253,-0.088994
9367,3548878,17732120,Private room,Camden,Regent's Park,6,4.5,1,1,1,75,4,51.526409,-0.143554
9368,3550012,2290734,Entire home/apt,Tower Hamlets,Stepney Green,18,4.5,,2,1,224,1,51.520416,-0.052883
9369,3550905,6862421,Private room,Wandsworth,Thamesfield,2,5,1,1,1,75,1,51.46239,-0.210655
9370,3551276,15816781,Entire home/apt,Tower Hamlets,Whitechapel,4,3.5,4,0,1,128,2,51.514632,-0.063935
9371,3551562,17878644,Entire home/apt,Hammersmith and Fulham,Palace Riverside,7,5,3,1,,150,2,51.468142,-0.21013
9372,3552502,17881510,Private room,Barnet,East Finchley,20,5,1,1,1,38,1,51.591493,-0.175001
9373,3552654,1621770,Entire home/apt,Camden,Cantelowes,62,5,2,1,1,128,2,51.545104,-0.129075
9374,3552851,17885857,Private room,Croydon,Upper Norwood,0,,2,1,1,53,2,51.418795,-0.086757
9375,3553029,14030973,Private room,Lewisham,Telegraph Hill,8,4.5,2,1,1,82,1,51.470564,-0.044479
9376,3553492,1903444,Private room,Tower Hamlets,Lansbury,1,5,2,1,1,83,1,51.514666,-0.014031
9377,3553624,6515941,Entire home/apt,Westminster,Marylebone High Street,9,4.5,4,1,1,239,2,51.516788,-0.154644
9378,3555409,6896838,Entire home/apt,Kensington and Chelsea,Notting Dale,42,4.5,4,1,1,119,4,51.517308,-0.210039
9379,3556257,987297,Entire home/apt,Hackney,Lea Bridge,1,4,2,1,1,82,3,51.562744,-0.04774
9380,3556355,17903673,Entire home/apt,Camden,Holborn and Covent Garden,83,5,2,1,1,209,2,51.513127,-0.127752
9381,3557093,9972084,Private room,Waltham Forest,Grove Green,1,5,2,1,1,63,3,51.565848,-0.006036
9382,3557483,1432477,Entire home/apt,Hammersmith and Fulham,Fulham Broadway,19,4.5,,2,2,253,1,51.485495,-0.199055
9383,3557848,17911918,Entire home/apt,City of London,City of London,1,2,3,1,1,269,3,51.518462,-0.078604
9384,3558363,17911918,Entire home/apt,City of London,City of London,6,4,3,1,1,269,2,51.51752,-0.079549
9385,3558566,57832,Entire home/apt,Westminster,Maida Vale,14,4.5,2,1,,143,2,51.528383,-0.195383
9386,3558879,17916138,Entire home/apt,Camden,Regent's Park,9,3,,3,1,224,3,51.536201,-0.140496
9387,3559020,2453452,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,29,4.5,2,0,1,98,3,51.500956,-0.228328
9388,3559133,17917744,Entire home/apt,Hammersmith and Fulham,North End,0,,2,0,1,165,3,51.488971,-0.206596
9389,3559277,13557337,Private room,Tower Hamlets,St. Dunstan's,10,3.5,3,1,,49,1,51.52117,-0.039839
9390,3559392,4146736,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,1,4,5,2,1,195,3,51.520224,-0.056778
9391,3559459,7952026,Entire home/apt,Westminster,Knightsbridge and Belgravia,10,4,1,1,1,301,3,51.497276,-0.154035
9392,3559778,1796536,Entire home/apt,Westminster,Church Street,4,4.5,,3,2,209,1,51.52295,-0.167685
9393,3559813,8381397,Private room,Lambeth,Brixton Hill,4,5,2,1,1,68,3,51.447171,-0.121332
9394,3559920,6789474,Entire home/apt,Westminster,Harrow Road,14,5,5,3,,323,3,51.527077,-0.199925
9395,3559930,1942030,Private room,Southwark,Nunhead,6,3.5,1,1,2,42,1,51.473661,-0.056852
9396,3560607,17925025,Entire home/apt,Lambeth,Thurlow Park,18,4.5,4,2,1,102,1,51.445773,-0.103956
9397,3561100,3105915,Private room,Southwark,Surrey Docks,6,4.5,2,1,1,73,1,51.502084,-0.037875
9398,3561168,3398477,Entire home/apt,Hounslow,Cranford,23,4.5,3,1,1,123,5,51.479366,-0.412836
9399,3561422,4418116,Entire home/apt,Camden,Hampstead Town,43,5,2,1,1,180,2,51.556156,-0.174303
9400,3561811,8787457,Entire home/apt,Southwark,Peckham,43,4,2,0,1,90,2,51.478586,-0.080111
9401,3561860,573623,Entire home/apt,Kensington and Chelsea,Campden,0,,,5,,2236,14,51.502654,-0.188073
9402,3562155,573623,Entire home/apt,Kensington and Chelsea,Queen's Gate,0,,,3,,2205,14,51.5011,-0.18619
9403,3562368,573623,Entire home/apt,Kensington and Chelsea,Campden,0,,,5,,2236,14,51.503048,-0.187407
9404,3564269,3409736,Entire home/apt,City of London,City of London,1,5,2,0,1,254,2,51.521999,-0.096489
9405,3564519,9869735,Entire home/apt,Westminster,Bryanston and Dorset Square,12,4.5,2,1,1,165,2,51.518936,-0.163877
9406,3564639,1432477,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,1,5,,4,2,374,2,51.496635,-0.231609
